sequence,filename,filter,cutoff,order,psnr,ssim,time_ms
GOPR0372_07_00,000047.png,ideal_lpf,30.0,2,20.15478330382948,0.5723607753872357,576.252700000623
GOPR0372_07_00,000048.png,ideal_lpf,30.0,2,20.112024208959028,0.5757042331223595,617.3453999981575
GOPR0372_07_00,000049.png,ideal_lpf,30.0,2,20.057744303758827,0.577463063449919,575.9109999999055
GOPR0372_07_00,000050.png,ideal_lpf,30.0,2,20.180484217657497,0.5762834892840296,559.5499999981257
GOPR0372_07_00,000051.png,ideal_lpf,30.0,2,20.056916771266778,0.5724773301864169,565.0892000012391
GOPR0372_07_00,000052.png,ideal_lpf,30.0,2,20.001872288527302,0.5731951875140605,598.7645000022894
GOPR0372_07_00,000053.png,ideal_lpf,30.0,2,20.05614700120613,0.5738124846382202,631.3489000021946
GOPR0372_07_00,000054.png,ideal_lpf,30.0,2,19.89534665048575,0.5740948299164463,522.310500000458
GOPR0372_07_00,000055.png,ideal_lpf,30.0,2,20.190846324189366,0.5743936732448346,574.9044999975013
GOPR0372_07_00,000056.png,ideal_lpf,30.0,2,20.23470756654646,0.5732501421365699,600.9066000005987
GOPR0372_07_00,000057.png,ideal_lpf,30.0,2,20.187562730224535,0.5769230329684876,626.1203000030946
GOPR0372_07_00,000058.png,ideal_lpf,30.0,2,20.07394964691961,0.5727619657168224,580.8309999993071
GOPR0372_07_00,000059.png,ideal_lpf,30.0,2,20.296501987840166,0.5835447409961677,616.5107999986503
GOPR0372_07_00,000060.png,ideal_lpf,30.0,2,20.349946088363453,0.5814362821720377,563.8660000004165
GOPR0372_07_00,000061.png,ideal_lpf,30.0,2,20.349349240499333,0.5820951064078838,597.679499998776
GOPR0372_07_00,000062.png,ideal_lpf,30.0,2,19.95949889928733,0.5765462485525008,554.2151999979978
GOPR0372_07_00,000063.png,ideal_lpf,30.0,2,20.23871406262479,0.5791458120727685,548.7520999995468
GOPR0372_07_00,000064.png,ideal_lpf,30.0,2,20.20382233792253,0.5821816039406994,579.4534999986354
GOPR0372_07_00,000065.png,ideal_lpf,30.0,2,19.983944097458416,0.5863720202910934,604.0988999993715
GOPR0372_07_00,000066.png,ideal_lpf,30.0,2,19.777760102295684,0.5844426669906135,577.0818000019062
GOPR0372_07_00,000067.png,ideal_lpf,30.0,2,19.85326898264201,0.5843168476067182,548.3996000002662
GOPR0372_07_00,000068.png,ideal_lpf,30.0,2,20.111346667624662,0.5847476669397729,562.9594999991241
GOPR0372_07_00,000069.png,ideal_lpf,30.0,2,19.82983400788971,0.5742828613644292,528.0841999992845
GOPR0372_07_00,000070.png,ideal_lpf,30.0,2,19.155684814837663,0.5751844317621545,587.7880000007281
GOPR0372_07_00,000071.png,ideal_lpf,30.0,2,20.165719131153015,0.5868615151093581,609.5013000012841
GOPR0372_07_00,000072.png,ideal_lpf,30.0,2,20.240779542007452,0.5848971952751129,613.041799999337
GOPR0372_07_00,000073.png,ideal_lpf,30.0,2,20.24458281014475,0.5775463688636001,584.0265000006184
GOPR0372_07_00,000074.png,ideal_lpf,30.0,2,20.23647775308668,0.5768911356094328,568.2430999986536
GOPR0372_07_00,000075.png,ideal_lpf,30.0,2,20.144343197108725,0.5768634581654625,599.1611999997986
GOPR0372_07_00,000076.png,ideal_lpf,30.0,2,20.13314454954235,0.5839046194516927,599.2924999991374
GOPR0372_07_00,000077.png,ideal_lpf,30.0,2,20.11806535139939,0.5760438257906207,577.1192000029259
GOPR0372_07_00,000078.png,ideal_lpf,30.0,2,20.165193778969,0.5823532635456292,602.5225000012142
GOPR0372_07_00,000079.png,ideal_lpf,30.0,2,20.062608524283743,0.5823454379593094,574.5745999993233
GOPR0372_07_00,000080.png,ideal_lpf,30.0,2,20.07374959366484,0.5797689010945619,599.5393000011973
GOPR0372_07_00,000081.png,ideal_lpf,30.0,2,19.894460517466904,0.5930402388749302,671.9148000011046
GOPR0372_07_00,000082.png,ideal_lpf,30.0,2,20.100531057167295,0.6030927178146983,604.0810000013153
GOPR0372_07_00,000083.png,ideal_lpf,30.0,2,20.356843914811165,0.6024560211570303,613.8124999997672
GOPR0372_07_00,000084.png,ideal_lpf,30.0,2,20.05607955181364,0.5811312892348234,597.3613000023761
GOPR0372_07_00,000085.png,ideal_lpf,30.0,2,20.263364580888798,0.5957490472279877,596.7880999996851
GOPR0372_07_00,000086.png,ideal_lpf,30.0,2,19.936362584522595,0.6002756062315574,598.510299998452
GOPR0372_07_00,000087.png,ideal_lpf,30.0,2,20.225109294607435,0.6236870337760798,601.2444000007235
GOPR0372_07_00,000088.png,ideal_lpf,30.0,2,20.541956154053416,0.6207420625488504,575.9208000017679
GOPR0372_07_00,000089.png,ideal_lpf,30.0,2,20.293980767249003,0.6078612917377458,553.9207000001625
GOPR0372_07_00,000090.png,ideal_lpf,30.0,2,20.524519678036622,0.6190458470887733,613.7230999993335
GOPR0372_07_00,000091.png,ideal_lpf,30.0,2,20.663060470337054,0.6298551977287391,597.1958999980416
GOPR0372_07_00,000092.png,ideal_lpf,30.0,2,20.609935102422313,0.6300206539320183,652.1432999979879
GOPR0372_07_00,000093.png,ideal_lpf,30.0,2,19.42443412626281,0.615709371736481,605.4378000008
GOPR0372_07_00,000094.png,ideal_lpf,30.0,2,19.50285443179392,0.6449893473925422,634.3110000016168
GOPR0372_07_00,000095.png,ideal_lpf,30.0,2,20.936599476863552,0.6775716930651278,573.929499998485
GOPR0372_07_00,000096.png,ideal_lpf,30.0,2,21.45243815045339,0.6808278609467622,587.5436999995145
GOPR0372_07_00,000097.png,ideal_lpf,30.0,2,21.546302242474937,0.6781459702540235,610.0454999977956
GOPR0372_07_00,000098.png,ideal_lpf,30.0,2,21.624454752273277,0.6807931829241429,626.1240999992879
GOPR0372_07_00,000099.png,ideal_lpf,30.0,2,21.572779015674442,0.6769493710653934,616.7992999980925
GOPR0372_07_00,000100.png,ideal_lpf,30.0,2,21.362899733664648,0.6791351707100527,579.4599000000744
GOPR0372_07_00,000101.png,ideal_lpf,30.0,2,21.59724184644546,0.678880732966156,583.0167000021902
GOPR0372_07_00,000102.png,ideal_lpf,30.0,2,21.122868421110436,0.6841586184455738,599.0859000012279
GOPR0372_07_00,000103.png,ideal_lpf,30.0,2,21.542063164265453,0.6651732743349631,565.5547999995179
GOPR0372_07_00,000104.png,ideal_lpf,30.0,2,21.37299928777019,0.6575746650113484,535.3892000021006
GOPR0372_07_00,000105.png,ideal_lpf,30.0,2,21.448135978662602,0.6639910176059339,621.4471999992384
GOPR0372_07_00,000106.png,ideal_lpf,30.0,2,21.510134740143968,0.6681626895341893,563.9607000011893
GOPR0372_07_00,000107.png,ideal_lpf,30.0,2,21.135973988436312,0.6650566285971077,567.2660000018368
GOPR0372_07_00,000108.png,ideal_lpf,30.0,2,20.71910884354862,0.6697313160055688,539.822800001275
GOPR0372_07_00,000109.png,ideal_lpf,30.0,2,21.486808646622336,0.6710887025899385,571.9114999992598
GOPR0372_07_00,000110.png,ideal_lpf,30.0,2,21.11185938177394,0.6386468813708169,559.1071999988344
GOPR0372_07_00,000111.png,ideal_lpf,30.0,2,21.176859063613293,0.6427290517992755,587.9855000021053
GOPR0372_07_00,000112.png,ideal_lpf,30.0,2,21.434330463773264,0.6632894311703708,596.378399997775
GOPR0372_07_00,000113.png,ideal_lpf,30.0,2,21.12697601724699,0.6648480316705251,607.6276999992842
GOPR0372_07_00,000114.png,ideal_lpf,30.0,2,20.847172812847106,0.661596601723731,565.8717999976943
GOPR0372_07_00,000115.png,ideal_lpf,30.0,2,21.79020055828872,0.679310841563069,592.5500000012107
GOPR0372_07_00,000116.png,ideal_lpf,30.0,2,22.351206693797092,0.68585695541463,608.4184000028472
GOPR0372_07_00,000117.png,ideal_lpf,30.0,2,22.24284047301942,0.6734313459810846,570.2343999982986
GOPR0372_07_00,000118.png,ideal_lpf,30.0,2,22.195852972560466,0.6664188285282289,550.3490000010061
GOPR0372_07_00,000119.png,ideal_lpf,30.0,2,22.15858321994261,0.6681817344865574,526.1820000014268
GOPR0372_07_00,000120.png,ideal_lpf,30.0,2,22.133541463908873,0.6833123186885035,565.8522999983688
GOPR0372_07_00,000121.png,ideal_lpf,30.0,2,22.48673972079574,0.6843194054026805,558.3893000002718
GOPR0372_07_00,000122.png,ideal_lpf,30.0,2,22.48406889527518,0.6693151339830093,583.8669999975536
GOPR0372_07_00,000123.png,ideal_lpf,30.0,2,22.53003635615179,0.6776704504346771,580.5185999997775
GOPR0372_07_00,000124.png,ideal_lpf,30.0,2,22.71683020573864,0.6839092277858049,569.6793999995862
GOPR0372_07_00,000125.png,ideal_lpf,30.0,2,22.494423973090917,0.6730641377325388,609.5453000016278
GOPR0372_07_00,000126.png,ideal_lpf,30.0,2,22.521150616565848,0.6799873449408502,631.6113000029873
GOPR0372_07_00,000127.png,ideal_lpf,30.0,2,22.587266927778003,0.6887300441330795,560.9597000002395
GOPR0372_07_00,000128.png,ideal_lpf,30.0,2,23.112449131956687,0.7003007471478857,579.9044000013964
GOPR0372_07_00,000129.png,ideal_lpf,30.0,2,23.047465961371053,0.7032879467736738,617.3634999977367
GOPR0372_07_00,000130.png,ideal_lpf,30.0,2,22.812926721806814,0.6936887799653356,592.9381999994803
GOPR0372_07_00,000131.png,ideal_lpf,30.0,2,22.89212277166499,0.7020024962156658,552.2588999992877
GOPR0372_07_00,000132.png,ideal_lpf,30.0,2,22.621697394053648,0.6810851036340598,597.8313000014168
GOPR0372_07_00,000133.png,ideal_lpf,30.0,2,22.696891888842607,0.6827253918684756,558.3867999994254
GOPR0372_07_00,000134.png,ideal_lpf,30.0,2,22.620334810261138,0.6854832469506563,553.9664999996603
GOPR0372_07_00,000135.png,ideal_lpf,30.0,2,22.734618068905256,0.6904592495382484,606.8037000004551
GOPR0372_07_00,000136.png,ideal_lpf,30.0,2,22.393342645470153,0.6856139942154611,595.8269000002474
GOPR0372_07_00,000137.png,ideal_lpf,30.0,2,21.98722291973494,0.6765664173864722,549.3802999990294
GOPR0372_07_00,000138.png,ideal_lpf,30.0,2,21.87658683512222,0.6688021055572033,545.398499998555
GOPR0372_07_00,000139.png,ideal_lpf,30.0,2,21.910638539761315,0.6592440784614413,540.1028000014776
GOPR0372_07_00,000140.png,ideal_lpf,30.0,2,21.81414158373668,0.6908921931137056,572.3834999989776
GOPR0372_07_00,000141.png,ideal_lpf,30.0,2,22.527387096396172,0.6965392740893098,589.2442000003939
GOPR0372_07_00,000142.png,ideal_lpf,30.0,2,21.62242978510349,0.6442376673329956,568.3269000001019
GOPR0372_07_00,000143.png,ideal_lpf,30.0,2,21.913727087847064,0.6625767142045875,641.8737999993027
GOPR0372_07_00,000144.png,ideal_lpf,30.0,2,22.04377752002666,0.6867787003041941,570.2998000015214
GOPR0372_07_00,000145.png,ideal_lpf,30.0,2,21.8316044623349,0.7134690076731495,587.3387000028742
GOPR0372_07_00,000146.png,ideal_lpf,30.0,2,20.953940138491337,0.6615657593630405,571.6905999979645
